Name,College,Position,GP,MIN,PTS,FGM,FGA,FGPct,3PM,3PA,3PPct,FTM,FTA,FTPct,REB,AST,STL,BLK,TO,TS_pct,PPM,AST_TO,3PA_rate,FTA_rate,Archetype_k2,Archetype,Efficiency_Score,PPG_Rank,Eff_Rank,Rank_Delta
AJ Dybantsa,BYU,F,27,33.7,24.9,8.6,16.0,53.3,1.4,3.8,36.3,6.4,8.5,75.7,6.7,4.0,1.1,0.4,2.9,0.6306990881458966,0.7388724035608307,1.3793103448275863,0.2375,0.53125,Paint Bruisers,Versatile Playmakers,1.2935443021807072,1,8,-7
Jordan Riley,ECU,G,26,37.8,23.6,8.4,19.7,42.7,1.0,3.5,28.9,5.8,8.3,69.6,5.8,2.3,1.7,0.5,2.5,0.5053100376841384,0.6243386243386244,0.9199999999999999,0.17766497461928935,0.42131979695431476,Perimeter Snipers,Shot Creators,-0.1869324525457802,2,299,-297
P.J. Haggerty,KSU,G,27,34.9,23.5,8.7,17.8,49.1,1.4,3.8,36.3,4.6,6.7,69.1,5.0,3.9,1.2,0.0,3.3,0.5663196452670136,0.673352435530086,1.1818181818181819,0.21348314606741572,0.37640449438202245,Paint Bruisers,Versatile Playmakers,0.3514217186062413,3,132,-129
Daeshun Ruffin,JKST,G,24,33.6,23.5,7.3,16.5,44.3,1.5,4.5,32.4,7.4,8.8,84.8,2.8,5.6,1.6,0.2,3.9,0.5767720400549774,0.6994047619047619,1.435897435897436,0.2727272727272727,0.5333333333333333,Perimeter Snipers,Versatile Playmakers,0.8846371879287308,3,39,-36
Cameron Boozer,DUKE,F,27,32.8,22.6,8.1,14.0,58.2,1.5,3.7,39.6,4.9,6.3,76.6,10.0,4.0,1.6,0.6,2.3,0.6737419508704986,0.6890243902439025,1.7391304347826089,0.2642857142857143,0.45,Paint Bruisers,Versatile Playmakers,1.3493612895994198,5,5,0
Nick Martinelli,NU,F,26,34.9,22.3,7.7,15.3,50.1,1.4,3.3,43.5,5.5,6.8,80.9,6.2,1.7,0.6,0.4,1.5,0.6095560900940301,0.6389684813753582,1.1333333333333333,0.2156862745098039,0.4444444444444444,Perimeter Snipers,Versatile Playmakers,0.558962184992699,6,87,-81
Ebuka Okorie,STAN,G,25,34.5,22.3,7.0,16.0,44.0,2.0,5.9,33.3,6.3,7.6,83.1,3.7,3.3,1.5,0.3,1.7,0.5764061207609594,0.6463768115942029,1.9411764705882353,0.36875,0.475,Perimeter Snipers,Shot Creators,0.7946791552547969,6,48,-42
Darius Acuff Jr.,ARK,G,27,34.6,22.2,7.9,15.6,50.5,2.5,5.6,44.1,4.0,5.0,80.0,3.0,6.2,0.7,0.4,1.9,0.6235955056179775,0.6416184971098265,3.2631578947368425,0.358974358974359,0.32051282051282054,Perimeter Snipers,Versatile Playmakers,1.3068077782002125,8,7,1
Josh Hubbard,MSST,G,27,33.1,22.0,7.3,17.3,42.1,3.0,8.6,34.5,4.5,5.9,76.1,2.5,3.6,1.3,0.1,2.3,0.5528749497386409,0.6646525679758308,1.565217391304348,0.49710982658959535,0.34104046242774566,Perimeter Snipers,Shot Creators,0.3431353187227951,9,136,-127
Dominique Daniels Jr.,CBU,G,26,36.3,22.0,7.3,17.5,42.0,1.6,5.4,30.0,5.7,6.9,82.2,4.0,3.3,0.9,0.1,2.4,0.5356447214647448,0.6060606060606061,1.375,0.3085714285714286,0.3942857142857143,Perimeter Snipers,Shot Creators,0.050593705999190865,9,225,-216
JT Toppin,TTU,F,25,34.8,21.8,9.4,17.1,54.8,0.6,2.3,28.1,2.5,4.3,57.9,10.8,2.1,1.4,1.7,2.5,0.5739258635214827,0.6264367816091955,0.8400000000000001,0.13450292397660815,0.25146198830409355,Paint Bruisers,Paint Dominators,-0.14053444170468626,11,285,-274
Michael James,MVSU,G,27,37.0,21.7,7.7,17.6,43.5,2.6,7.7,33.0,3.8,4.2,91.2,3.2,2.4,1.7,0.0,2.7,0.5578979843685725,0.5864864864864865,0.8888888888888888,0.4375,0.23863636363636362,Perimeter Snipers,Perimeter Snipers,-0.37580579540959513,12,360,-348
Labaron Philon Jr.,ALA,G,26,30.2,21.3,7.2,14.3,50.3,2.2,5.8,38.7,4.7,6.0,78.2,3.3,5.0,1.2,0.2,2.7,0.6286894923258559,0.7052980132450332,1.8518518518518516,0.40559440559440557,0.4195804195804196,Perimeter Snipers,Versatile Playmakers,1.1584888522197039,13,16,-3
Lamar Wilkerson,IU,G,27,33.6,21.1,7.1,15.2,46.8,3.3,8.6,38.1,3.7,4.1,88.4,3.6,2.4,1.1,0.2,1.5,0.620442248882616,0.6279761904761905,1.5999999999999999,0.5657894736842105,0.26973684210526316,Perimeter Snipers,Perimeter Snipers,0.46286934917008205,15,104,-89
Cruz Davis,HOF,G,29,38.1,21.1,7.2,15.8,45.5,2.5,6.1,40.7,4.2,5.1,81.9,3.9,4.7,1.0,0.4,2.5,0.5846818887164709,0.5538057742782152,1.8800000000000001,0.38607594936708856,0.3227848101265822,Perimeter Snipers,Perimeter Snipers,0.20717803841686572,15,175,-160
Juke Harris,WAKE,G,27,33.9,21.1,6.6,14.5,45.3,2.6,7.4,34.3,5.4,7.0,76.8,6.6,1.7,1.4,0.3,1.8,0.600113765642776,0.6224188790560473,0.9444444444444444,0.5103448275862069,0.4827586206896552,Perimeter Snipers,Versatile Playmakers,0.43670640112334025,15,106,-91
Jadin Booth,SAM,G,27,36.2,20.9,6.2,13.8,45.0,3.9,9.1,42.9,4.6,5.2,87.2,3.5,2.4,1.2,0.1,1.5,0.6495524614619591,0.5773480662983425,1.5999999999999999,0.6594202898550724,0.37681159420289856,Perimeter Snipers,Perimeter Snipers,0.6233557070846897,17,72,-55
Bennett Stirtz,IOWA,G,27,36.9,20.6,7.0,13.8,50.9,2.5,6.3,39.4,4.1,4.9,84.0,2.4,4.5,1.4,0.3,2.0,0.6455251942842818,0.5582655826558266,2.25,0.45652173913043476,0.35507246376811596,Perimeter Snipers,Versatile Playmakers,0.7621543657061782,20,51,-31
Jack Karasinski,BELL,F,26,29.4,20.6,6.7,12.1,55.2,2.3,5.5,42.3,4.9,6.1,80.4,4.8,1.2,0.6,0.2,1.4,0.6966991341991343,0.7006802721088436,0.8571428571428572,0.4545454545454546,0.5041322314049587,Paint Bruisers,Versatile Playmakers,1.2468123147628682,20,10,10
Keyshawn Hall,AUB,F,25,33.4,20.6,5.7,12.8,44.4,1.9,4.8,40.3,7.3,8.5,85.4,7.0,2.8,0.9,0.7,2.4,0.6227327690447401,0.6167664670658684,1.1666666666666667,0.37499999999999994,0.6640625,Perimeter Snipers,Versatile Playmakers,0.9493422867112555,20,29,-9
