Rank (PTS),Image URL,ESPN URL,Name,College,Position,GP,MIN,PTS,FGM,FGA,FGPct,3PM,3PA,3PPct,FTM,FTA,FTPct,REB,AST,STL,BLK,TO
1,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/252.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5142718/aj-dybantsa,AJ Dybantsa,BYU,F,27,33.7,24.9,8.6,16,53.3,1.4,3.8,36.3,6.4,8.5,75.7,6.7,4,1.1,0.4,2.9
2,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/151.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4683942/jordan-riley,Jordan Riley,ECU,G,26,37.8,23.6,8.4,19.7,42.7,1,3.5,28.9,5.8,8.3,69.6,5.8,2.3,1.7,0.5,2.5
3,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2306.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5106275/pj-haggerty,P.J. Haggerty,KSU,G,27,34.9,23.5,8.7,17.8,49.1,1.4,3.8,36.3,4.6,6.7,69.1,5,3.9,1.2,0,3.3
4,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2296.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4432638/daeshun-ruffin,Daeshun Ruffin,JKST,G,24,33.6,23.5,7.3,16.5,44.3,1.5,4.5,32.4,7.4,8.8,84.8,2.8,5.6,1.6,0.2,3.9
5,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5041935/cameron-boozer,Cameron Boozer,DUKE,F,27,32.8,22.6,8.1,14,58.2,1.5,3.7,39.6,4.9,6.3,76.6,10,4,1.6,0.6,2.3
6,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/77.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5105832/nick-martinelli,Nick Martinelli,NU,F,26,34.9,22.3,7.7,15.3,50.1,1.4,3.3,43.5,5.5,6.8,80.9,6.2,1.7,0.6,0.4,1.5
7,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/24.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5258459/ebuka-okorie,Ebuka Okorie,STAN,G,25,34.5,22.3,7,16,44,2,5.9,33.3,6.3,7.6,83.1,3.7,3.3,1.5,0.3,1.7
8,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/8.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5142620/darius-acuff-jr,Darius Acuff Jr.,ARK,G,27,34.6,22.2,7.9,15.6,50.5,2.5,5.6,44.1,4,5,80,3,6.2,0.7,0.4,1.9
9,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/344.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4895740/josh-hubbard,Josh Hubbard,MSST,G,27,33.1,22,7.3,17.3,42.1,3,8.6,34.5,4.5,5.9,76.1,2.5,3.6,1.3,0.1,2.3
10,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2856.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5178207/dominique-daniels-jr,Dominique Daniels Jr.,CBU,G,26,36.3,22,7.3,17.5,42,1.6,5.4,30,5.7,6.9,82.2,4,3.3,0.9,0.1,2.4
11,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2641.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5143604/jt-toppin,JT Toppin,TTU,F,25,34.8,21.8,9.4,17.1,54.8,0.6,2.3,28.1,2.5,4.3,57.9,10.8,2.1,1.4,1.7,2.5
12,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2400.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5314773/michael-james,Michael James,MVSU,G,27,37,21.7,7.7,17.6,43.5,2.6,7.7,33,3.8,4.2,91.2,3.2,2.4,1.7,0,2.7
13,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/333.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4873090/labaron-philon-jr,Labaron Philon Jr.,ALA,G,26,30.2,21.3,7.2,14.3,50.3,2.2,5.8,38.7,4.7,6,78.2,3.3,5,1.2,0.2,2.7
14,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/84.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5105876/lamar-wilkerson,Lamar Wilkerson,IU,G,27,33.6,21.1,7.1,15.2,46.8,3.3,8.6,38.1,3.7,4.1,88.4,3.6,2.4,1.1,0.2,1.5
15,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2275.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5107198/cruz-davis,Cruz Davis,HOF,G,29,38.1,21.1,7.2,15.8,45.5,2.5,6.1,40.7,4.2,5.1,81.9,3.9,4.7,1,0.4,2.5
16,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/154.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5142609/juke-harris,Juke Harris,WAKE,G,27,33.9,21.1,6.6,14.5,45.3,2.6,7.4,34.3,5.4,7,76.8,6.6,1.7,1.4,0.3,1.8
17,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2535.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4702680/jadin-booth,Jadin Booth,SAM,G,27,36.2,20.9,6.2,13.8,45,3.9,9.1,42.9,4.6,5.2,87.2,3.5,2.4,1.2,0.1,1.5
18,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2294.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5241364/bennett-stirtz,Bennett Stirtz,IOWA,G,27,36.9,20.6,7,13.8,50.9,2.5,6.3,39.4,4.1,4.9,84,2.4,4.5,1.4,0.3,2
19,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/91.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5106735/jack-karasinski,Jack Karasinski,BELL,F,26,29.4,20.6,6.7,12.1,55.2,2.3,5.5,42.3,4.9,6.1,80.4,4.8,1.2,0.6,0.2,1.4
